"商品ID","商品名称","类目","平台","最低供货价CNY","最高供货价CNY","最小重量g","最大重量g","发货时效","仓库","材质","工艺","SKU数","测款分","状态","置信度","推荐依据","风险","源链接","最后变化时间"
"31","1PC  涤纶  单人/多人沙发套","沙发桌椅套","Temu","28.8","42.2","480","750","24小时发货","义乌仓自送","涤纶","热转印","4","74","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 900g，需重点核算物流;最低供货价 ¥28.8，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/31","2026-08-30T14:44:07.204Z"
"29","1PC  涤纶  矩形亚麻地垫","入户门垫","Temu","11.2","27.7","710","1830","24小时发货","义乌仓自送","涤纶","热转印","3","70","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 2040g，需重点核算物流;最低供货价 ¥11.2，测试预算相对较高;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/29","2026-09-02T15:38:10.686Z"
"28","0.8cm厚    法兰绒  圆形海绵地垫","入户门垫","Temu","6.5","11.5","180","295","24小时发货","义乌仓自送","涤纶","热转印","2","73","普通测款","100","24 小时发货;最低供货价 ¥6.5，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 1440g，需重点核算物流;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/28","2026-09-02T15:38:10.686Z"
"27","0.8cm厚    法兰绒  半圆形海绵地垫","入户门垫","Temu","4.3","9.7","140","250","24小时发货","义乌仓自送","涤纶","热转印","3","84","可优先测款","100","24 小时发货;最低供货价 ¥4.3，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 960g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/27","2026-09-02T15:38:10.686Z"
"25","4PCS  涤纶  浴室帘垫套装（浴帘+地垫）","帘垫套装","Temu","15.4","32.7","300","700","24小时发货","义乌仓自送","涤纶","热转印","3","70","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 1260g，需重点核算物流;最低供货价 ¥15.4，测试预算相对较高;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/25","2026-08-30T14:44:07.204Z"
"24","日用  涤纶  午睡盖毯","法兰绒午睡毯","Temu","7.4","24.5","200","830","24小时发货","义乌仓自送","涤纶","热转印","8","73","普通测款","100","24 小时发货;最低供货价 ¥7.4，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 1800g，需重点核算物流;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/24","2026-08-30T14:44:07.204Z"
"23","3mm厚   涤纶  超大咖啡机垫","超大桌垫","Temu","4","8.9","275","725","24小时发货","义乌仓自送","涤纶","热转印","3","84","可优先测款","100","24 小时发货;最低供货价 ¥4，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 725g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/23","2026-08-30T14:44:07.204Z"
"22","3mm厚  橡胶  方形鼠标垫","方形鼠标垫","Temu","6.1","10.9","350","880","24小时发货","义乌仓自送","正面涤纶背部橡胶","热转印","3","81","可优先测款","100","24 小时发货;最低供货价 ¥6.1，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 880g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/22","2026-08-30T14:44:07.204Z"
"21","1PC  超细纤维  多尺寸沙滩巾","沙滩巾","Temu","3.7","13.2","80","460","24小时发货","义乌仓自送","涤纶","热转印","6","84","可优先测款","100","24 小时发货;最低供货价 ¥3.7，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 739.2g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/21","2026-08-30T14:44:07.204Z"
"19","2PCS  涤纶  厨房餐盘擦手巾","擦布","Temu","6.2","6.2","170","170","24小时发货","义乌仓自送","涤纶","热转印","1","85","可优先测款","100","24 小时发货;最低供货价 ¥6.2，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 350g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/19","2026-09-02T15:38:10.686Z"
"18","日用  超细纤维  干发帽","头带","Temu","5.6","10.9","100","200","24小时发货","义乌仓自送","涤纶","热转印","2","93","可优先测款","100","计费重量约 200g，适合轻量测款;24 小时发货;最低供货价 ¥5.6，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/18","2026-08-30T14:44:07.204Z"
"17","常用 涤纶 矩形眼镜布","眼镜布","Temu","2.1","16.2","15","100","24小时发货","义乌仓自送","涤纶","热转印","4","100","可优先测款","100","计费重量约 100g，适合轻量测款;24 小时发货;最低供货价 ¥2.1，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/17","2026-08-30T14:44:07.204Z"
"16","1PC   涤纶  自粘走廊毯","入户门垫","Temu","24","52.6","1100","1820","24小时发货","义乌仓自送","涤纶","热转印","3","66","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 2700g，需重点核算物流;最低供货价 ¥24，测试预算相对较高;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/16","2026-08-30T14:44:07.204Z"
"14","1PC/10PCS   涤纶  楼梯垫","楼梯垫","Temu","4.5","39","75","750","24小时发货","义乌仓自送","涤纶","热转印","2","84","可优先测款","100","24 小时发货;最低供货价 ¥4.5，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 750g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/14","2026-08-30T14:44:07.204Z"
"13","女士  涤纶  活结束发带","头带","Temu","3.6","17.5","35","200","24小时发货","义乌仓自送","涤纶","热转印","3","96","可优先测款","100","计费重量约 200g，适合轻量测款;24 小时发货;最低供货价 ¥3.6，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/13","2026-08-30T14:44:07.204Z"
"12","3PCS  涤纶  舒适猫狗盖毯","宠物毯","Temu","19","86","100","580","24小时发货","义乌仓自送","涤纶","热转印","3","78","可优先测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 840g，需重点核算物流;最低供货价 ¥19，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/12","2026-08-30T14:44:07.204Z"
"9","男士 涤纶  多用浴裙","男士浴裙","Temu","21","26.2","600","620","24小时发货","义乌仓自送","涤纶","热转印","2","74","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 620g，需重点核算物流;最低供货价 ¥21，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/9","2026-08-30T14:44:07.204Z"
"8","母婴 涤纶  通用隔尿垫","儿童隔尿垫","Temu","9.7","33.5","95","376","24小时发货","义乌仓自送","涤纶","热转印","4","81","可优先测款","100","24 小时发货;最低供货价 ¥9.7，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 780g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/8","2026-08-30T14:44:07.204Z"
"6","女士 涤纶 浴裙套装 （浴裙+干发帽）","浴裙套装","Temu","24","24","550","550","24小时发货","义乌仓自送","涤纶","热转印","1","70","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 550g，需重点核算物流;最低供货价 ¥24，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/6","2026-08-30T14:44:07.204Z"
"5","1PC 帆布  拉链化妆包","化妆包","Temu","3.3","3.3","28","28","24小时发货","义乌仓自送","涤纶","热转印","1","96","可优先测款","100","计费重量约 60g，适合轻量测款;24 小时发货;最低供货价 ¥3.3，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/5","2026-08-30T14:44:07.204Z"
"4","1PC  涤纶  休闲健身束口袋","束口袋","Temu","5","6.8","33","59","24小时发货","义乌仓自送","涤纶","热转印","3","100","可优先测款","100","计费重量约 85g，适合轻量测款;24 小时发货;最低供货价 ¥5，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/4","2026-08-30T14:44:07.204Z"
"3","女士 涤纶 单肩沙滩包","沙滩包","Temu","13.5","16.8","165","215","24小时发货","义乌仓自送","涤纶","热转印","2","90","可优先测款","100","计费重量约 215g，适合轻量测款;24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最低供货价 ¥13.5，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/3","2026-08-30T14:44:07.204Z"
"2","女士 涤纶 交叉束发带","头带","Temu","3.6","3.6","35","35","24小时发货","义乌仓自送","涤纶","热转印","1","92","可优先测款","100","计费重量约 180g，适合轻量测款;24 小时发货;最低供货价 ¥3.6，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/2","2026-08-30T14:44:07.204Z"
"1","女士 涤纶 多功能头巾","头带","Temu","7.4","7.4","65","65","24小时发货","义乌仓自送","聚酯纤维","热转印","1","93","可优先测款","100","计费重量约 65g，适合轻量测款;24 小时发货;最低供货价 ¥7.4，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/1","2026-08-30T14:44:07.204Z"
